year,coal,oil,NGas,LiNGas,thermal,electric,other
2010,1078.609519,2046.134215,31.72302,0.000001,514.942293,96.011938,0.61
2011,813.4944775,2187.598236,30.9504006,0.0000015,545.4656461,99.16273759,0.52
2012,760.9019238,2190.891292,37.56360499,0.000002,530.7502531,105.8066334,22.388559
2013,612.4904431,2124.472213,36.28258259,0.015549463,479.1955744,104.322681,48.83829
2014,554.6607915,2203.775963,37.4275944,0.077532936,515.5691384,107.3496105,54.6657
2015,464.025141,2279.015718,39.56988,19.171052,522.58574,109.376084,60.86
2016,366.840865,2257.976405,39.49848,25.356396,518.120713,117.567369,60.19
2017,225.120768,2381.888628,41.17638,28.361208,531.509574,122.829947,68.3
2018,86.491074,2441.816657,46.21008,36.128032,588.453363,131.868013,99.58
2019,64.749723,2488.231367,45.7674,37.059348,583.300093,135.204748,109
2020,33.699714,1887.820858,44.14662,32.209476,640.696076,134.676278,125.1
2021,26.02,2008.49732,45.01056,34.757416,624.016213,146.018719,126.63
2022,19.9,1606.154589,45.68172,29.468244,666.749479,151.675806,126.68
2023,13.234566,2098.941329,46.0887,31.172728,655.030066,162.213252,127.23
